,name,rating,number_of_ratings,category,subcategory,brand,price,discount,sold_by,best_seller_rank,best_seller_category,image
76,Galaxy Z Fold 7 Dual SIM Blue Shadow 12GB 512GB 5G - Middle East Version,4.7,59 Ratings,Electronics & Mobiles,Smartphones,Samsung,93998.95,,Simple,Best Seller#47,Smartphones,https://f.nooncdn.com/p/pnsku/N70187011V/45/_/1752051290/b4644ad2-d1ef-4d89-a8a1-012401ff0147.jpg?width=800
77,Galaxy Tab A9 Plus Graphite 8GB RAM 128GB 5G - Middle East Version,4.5,2925 Ratings,Electronics & Mobiles,Tablets,Samsung,11499.95,13% Off,K&M The Future Makers,Best Seller#5,Tablets,https://f.nooncdn.com/p/pnsku/N70011596V/45/_/1696833957/e2a0cabf-1304-4883-a0c2-54b940941450.jpg?width=800
78,"Galaxy Watch 8 Classic 46mm (Middle East Version) GPS Smartwatch, Cushion Design, Rotating Bezel, Quick Button, 3nm Processor, Sleep Coaching, Running Coach Black",5.0,4 Ratings,Electronics & Mobiles,Smartwatches,Samsung,21949.00,18% Off,Dr.Mobile,,,https://f.nooncdn.com/p/pnsku/N70189411V/45/_/1751976782/40928da5-59af-4be6-8432-940910c3b901.jpg?width=800
79,Galaxy Tab A9 Navy 8GB RAM 128GB LTE - Middle East Version,4.5,8785 Ratings,Electronics & Mobiles,Tablets,Samsung,8713.45,21% Off,Dr.Mobile,Best Seller #9,Tablets,https://f.nooncdn.com/p/pnsku/N70011585V/45/_/1696833948/bd77e268-79cc-403b-a14e-d0730860dcfe.jpg?width=800
80,"Galaxy Watch 8 40mm (Middle East Version) GPS Smartwatch, Everyday Health Coach, Cushion Design, Dynamic Lug System, 3nm Processor, Sleep Coaching, Running Coach - Graphite",4.7,27 Ratings,Electronics & Mobiles,Smartwatches,Samsung,17071.65,7% Off,Dr.Mobile,,,https://f.nooncdn.com/p/pnsku/N70189403V/45/_/1751976799/1d549dc7-d089-445f-a267-3f8c6366491d.jpg?width=800
81,Galaxy A36 5G Dual SIM Awesome White 8GB RAM 256GB - Middle East Version,4.4,500 Ratings,Electronics & Mobiles,Smartphones,Samsung,17299.00,10% Off,noon,,,https://f.nooncdn.com/p/pnsku/N70158921V/45/_/1744647794/a122656c-ae42-4f6c-862c-c310d442de1e.jpg?width=800
82,"45W PD Power Adapter, USB-C to USB-C Cable (5A /1.8m) Black",,,Electronics & Mobiles,Wall Chargers,Samsung,1665.95,,Dr.Mobile,,,https://f.nooncdn.com/p/pnsku/N70032844V/45/_/1732715587/fd960ee7-b369-45de-a362-f28a4f878839.jpg?width=800
83,Galaxy A36 5G Dual SIM Awesome White 8GB RAM 128GB - Middle East Version,4.3,398 Ratings,Electronics & Mobiles,Smartphones,Samsung,15499.00,12% Off,noon,,,https://f.nooncdn.com/p/pnsku/N70158917V/45/_/1744647868/f9ac8d05-f4c6-48e3-b501-b120267b4de4.jpg?width=800
84,Samsung Refrigerator Top Mounted Freezer No Frost 419 Liter 2 Doors Digital Screen - RT40DG3110BVMR Black,4.6,19 Ratings,Home & Kitchen,Refrigerators,Samsung,25700.00,24% Off,SMART HOME,Best Seller#17,Refrigerators,https://f.nooncdn.com/p/pnsku/N70102411V/45/_/1724302921/4a342dcd-626d-430a-8bba-b7ffd42cbd6a.jpg?width=800
85,Galaxy A16 Dual SIM Light Green 8GB RAM 256GB 4G - Middle East Version,4.4,7540 Ratings,Electronics & Mobiles,Smartphones,Samsung,10433.95,,Dr.Mobile,Best Seller#33,Smartphones,https://f.nooncdn.com/p/pnsku/N70126888V/45/_/1730878385/70ff8534-2ac8-4b7c-921b-dbb56b235326.jpg?width=800
86,75 Inch 4K UHD Smart LED TV with Built-in Receiver - 75DU7000 UA75DU7000UXEG Black,3.9,25 Ratings,Electronics & Mobiles,Televisions,Samsung,32650.00,15% Off,SMART HOME,Best Seller#11,Televisions,https://f.nooncdn.com/p/pnsku/N70068579V/45/_/1714710668/3b13b76c-16ee-42eb-8604-70c9dd552877.jpg?width=800
87,Galaxy A16 4G Dual SIM Black 6GB RAM 128GB - Middle East Version,4.4,7540 Ratings,Electronics & Mobiles,Smartphones,Samsung,8099.00,8% Off,noon,Best Seller#17,Smartphones,https://f.nooncdn.com/p/pnsku/N70129663V/45/_/1755510772/10c9d5c5-8272-45ae-805c-fca1cce33a9d.jpg?width=800
